Year,GNI per capita (constant 2015 US$),"GNI per capita, PPP (constant 2021 international $)",Gini index,Income share held by lowest 20%,Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at societal poverty line (% of population)
2001,1109.654392,3602.703694,28.7,9.8,64.3,56.2
2002,1109.845952,3603.325631,29.433333333333334,9.6,60.1,51.1
2003,1138.654686,3696.858657,30.166666666666664,9.4,55.9,46.0
2004,1193.828951,3875.992385,30.9,9.2,51.7,40.9
2005,1249.212118,4055.804353,31.3,9.3,50.4,40.8
2006,1268.901059,4119.728241,30.5,9.5,47.25,38.9
2007,1282.613674,4164.248849,29.7,9.7,44.1,37.0
2008,1244.367761,4040.07623,29.4,9.766666666666666,41.666666666666664,35.733333333333334
2009,1243.967571,4038.776937,29.1,9.833333333333334,39.233333333333334,34.46666666666667
2010,1245.253098,4042.950642,28.8,9.9,36.8,33.2
2011,1257.758242,4083.550967,29.7,9.7,36.3,33.1
2012,1253.746329,4070.525531,29.6,9.6,32.9,32.25
2013,1284.564504,4170.582588,29.5,9.5,29.5,31.4
2014,1319.418957,4283.744189,30.4,9.4,26.9,30.65
2015,1359.305033,4413.241909,31.3,9.3,24.3,29.9
2016,1447.521939,4699.654844,30.733333333333334,9.4,23.5,29.599999999999998
2017,1501.941589,4876.338571,30.166666666666668,9.5,22.7,29.3
2018,1566.281348,5085.229816,29.6,9.6,21.9,29.0
2019,1580.672426,5131.953185,30.25,9.366666666666667,21.9,29.633333333333333
2020,1544.833269,5015.594556,30.900000000000002,9.133333333333333,21.9,30.266666666666666
2021,1632.281591,5299.512138,31.55,8.899999999999999,21.9,30.9
2022,1653.080032,5367.038226,32.2,8.666666666666666,21.9,31.53333333333333
2023,1679.929849,5454.211255,32.85,8.433333333333334,21.9,32.166666666666664
2024,1719.887945,5583.942802,33.5,8.2,21.9,32.8
2025,1719.887945,5583.942802,33.5,8.2,21.9,32.8
